utterance,qudBias,prior,state.CC,state.BEL,prob
pos-know-pos-dance,BEL?,higher,1,1,1
pos-know-pos-dance,BEL?,lower,1,1,1
pos-know-pos-dance,CC?,higher,1,1,1
pos-know-pos-dance,CC?,lower,1,1,1
pos-think-pos-dance,BEL?,higher,1,1,0.6569454750451379
pos-think-pos-dance,BEL?,higher,0,1,0.3430545249548621
pos-think-pos-dance,BEL?,lower,0,1,0.6762481432336087
pos-think-pos-dance,BEL?,lower,1,1,0.3237518567663911
pos-think-pos-dance,CC?,higher,1,1,0.65727551083389
pos-think-pos-dance,CC?,higher,0,1,0.34272448916611004
pos-think-pos-dance,CC?,lower,0,1,0.6759273694450736
pos-think-pos-dance,CC?,lower,1,1,0.3240726305549261
neg-know-pos-dance,BEL?,higher,1,0,0.9808800540074785
neg-know-pos-dance,BEL?,higher,0,0,0.018106106015124343
neg-know-pos-dance,BEL?,higher,0,1,0.0010138399773969345
neg-know-pos-dance,BEL?,lower,1,0,0.9276691044778377
neg-know-pos-dance,BEL?,lower,0,0,0.06849553147301793
neg-know-pos-dance,BEL?,lower,0,1,0.0038353640491438725
neg-know-pos-dance,CC?,higher,1,0,0.8614241071846033
neg-know-pos-dance,CC?,higher,0,1,0.08255202712927459
neg-know-pos-dance,CC?,higher,0,0,0.056023865686121936
neg-know-pos-dance,CC?,lower,1,0,0.6084673770947575
neg-know-pos-dance,CC?,lower,0,1,0.2332426733928896
neg-know-pos-dance,CC?,lower,0,0,0.1582899495123528
neg-think-pos-dance,BEL?,higher,1,0,0.6634885693492371
neg-think-pos-dance,BEL?,higher,0,0,0.3365114306507631
neg-think-pos-dance,BEL?,lower,0,0,0.669829685412012
neg-think-pos-dance,BEL?,lower,1,0,0.33017031458798785
neg-think-pos-dance,CC?,higher,1,0,0.6635945295761325
neg-think-pos-dance,CC?,higher,0,0,0.3364054704238681
neg-think-pos-dance,CC?,lower,0,0,0.6697247116570425
neg-think-pos-dance,CC?,lower,1,0,0.33027528834295816
pos-bare-pos-dance,BEL?,higher,1,0,0.5052175538290656
pos-bare-pos-dance,BEL?,higher,1,1,0.4947824461709345
pos-bare-pos-dance,BEL?,lower,1,0,0.5052175538290657
pos-bare-pos-dance,BEL?,lower,1,1,0.4947824461709344
pos-bare-pos-dance,CC?,higher,1,0,0.5000578510804834
pos-bare-pos-dance,CC?,higher,1,1,0.4999421489195167
pos-bare-pos-dance,CC?,lower,1,0,0.5000578510804832
pos-bare-pos-dance,CC?,lower,1,1,0.49994214891951666
neg-bare-pos-dance,BEL?,higher,0,1,0.5000940444679803
neg-bare-pos-dance,BEL?,higher,0,0,0.4999059555320197
neg-bare-pos-dance,BEL?,lower,0,1,0.5000940444679803
neg-bare-pos-dance,BEL?,lower,0,0,0.4999059555320197
neg-bare-pos-dance,CC?,higher,0,0,0.5000018977152824
neg-bare-pos-dance,CC?,higher,0,1,0.49999810228471747
neg-bare-pos-dance,CC?,lower,0,0,0.5000018977152825
neg-bare-pos-dance,CC?,lower,0,1,0.4999981022847175
