rt,participantID,age,gender,language,amE,education,comments,item,qud,utterance,verb,prior,which,response,response_type,environment
137560.40000000596,391,42,female,English,AmE,some college,""":""""}",bike,nai,neg-know,know,higher,SECOND,0.5,CC,negation
37515,508,44,male,English,AmE,graduated college,""":""""}",petshelter,ai,neg-stop,stop,lower,FIRST,1,PRE,negation
37515,508,44,male,English,AmE,graduated college,""":""""}",petshelter,ai,neg-stop,stop,lower,SECOND,1,notPOST,negation
102998.39999997616,148,77,female,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-know,know,higher,FIRST,1,CC,negation
102998.39999997616,148,77,female,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-know,know,higher,SECOND,0,BEL,negation
54501.70000000298,410,29,male,English,AmE,hold a higher degree,""":""""}",subway,nai,q-know,know,higher,FIRST,0.28,BEL,question
54501.70000000298,410,29,male,English,AmE,hold a higher degree,""":""""}",subway,nai,q-know,know,higher,SECOND,0.77,CC,question
109355.89999999944,189,20,female,English,AmE,graduated college,""":""My experience in the study was smooth.""}",bike,ai,neg-know,know,higher,FIRST,1,CC,negation
109355.89999999944,189,20,female,English,AmE,graduated college,""":""My experience in the study was smooth.""}",bike,ai,neg-know,know,higher,SECOND,0,BEL,negation
49005.90000000002,513,41,female,English,AmE,some college,""":""""}",petshelter,nai,q-know,know,lower,FIRST,0.2,BEL,question
49005.90000000002,513,41,female,English,AmE,some college,""":""""}",petshelter,nai,q-know,know,lower,SECOND,0.21,CC,question
88601.60000002384,285,51,male,English,AmE,graduated college,""":""None, thank you.""}",bike,nai,neg-know,know,lower,FIRST,0,BEL,negation
88601.60000002384,285,51,male,English,AmE,graduated college,""":""None, thank you.""}",bike,nai,neg-know,know,lower,SECOND,1,CC,negation
45326.10000000009,194,43,female,English,AmE,hold a higher degree,""":""N/A""}",subway,nai,neg-stop,stop,lower,FIRST,0.12,notPOST,negation
45326.10000000009,194,43,female,English,AmE,hold a higher degree,""":""N/A""}",subway,nai,neg-stop,stop,lower,SECOND,0.91,PRE,negation
38208,542,35,preferNoToSay,English,AmE,hold a higher degree,""":""""}",subway,ai,q-know,know,higher,FIRST,1,CC,question
38208,542,35,preferNoToSay,English,AmE,hold a higher degree,""":""""}",subway,ai,q-know,know,higher,SECOND,1,BEL,question
66462.20000004768,422,23,female,English,AmE,some college,""":""""}",subway,ai,neg-stop,stop,lower,FIRST,0.22,PRE,negation
66462.20000004768,422,23,female,English,AmE,some college,""":""""}",subway,ai,neg-stop,stop,lower,SECOND,0.23,notPOST,negation
662309.8000000715,198,33,female,English,AmE,hold a higher degree,""":""Good study!""}",subway,nai,q-know,know,lower,FIRST,0,BEL,question
662309.8000000715,198,33,female,English,AmE,hold a higher degree,""":""Good study!""}",subway,nai,q-know,know,lower,SECOND,0,CC,question
137875.40000000037,477,45,male,English,AmE,some college,""":""Listen up, good people. This whole setup smells like a damn surveillance game disguised as concern for pets and promotions. Tracking who knows what about Charley’s pastimes? It’s like sitting in a coffee shop, watching people’s shadows, trying to guess their secrets. You want to figure out whether Sue thinks Charley played hero at the pet shelter before climbing the ladder? That’s a power play, a little mind game. People and their hobbies—sometimes they’re just stories people wanna believe. Maybe Sue believes it 'cause it fits the picture she wants to see: Charley the animal lover, the good guy volunteering before the suit and tie.\n\nBut dive deeper—I’d say don’t get lost in the details of what’s likely or unlikely. What matters is why you’re counting these little belief puzzles. Is it trust? Is it control? Or just knowing the layout of the mindscape in a place where data is king and privacy’s a ghost? There’s a lot going on beneath that surface... Just be careful not to become the guy watching the watchers—'cause sometimes the truth you’re hunting is just a trap waiting to snap shut.\n\nThe pet shelter story? Maybe it’s real. Maybe it’s just a comforting myth for the office. Either way, it’s telling you something—about Charley, about Sue, and about the game you’re all playing. Keep your eyes sharp. Keep your heart colder. Because in this town, everyone’s got their little pretend stories, and the ones who survive know when to believe and when to walk away.\n\nHave a marvelous day!""}",petshelter,nai,q-know,know,higher,FIRST,1,BEL,question
137875.40000000037,477,45,male,English,AmE,some college,""":""Listen up, good people. This whole setup smells like a damn surveillance game disguised as concern for pets and promotions. Tracking who knows what about Charley’s pastimes? It’s like sitting in a coffee shop, watching people’s shadows, trying to guess their secrets. You want to figure out whether Sue thinks Charley played hero at the pet shelter before climbing the ladder? That’s a power play, a little mind game. People and their hobbies—sometimes they’re just stories people wanna believe. Maybe Sue believes it 'cause it fits the picture she wants to see: Charley the animal lover, the good guy volunteering before the suit and tie.\n\nBut dive deeper—I’d say don’t get lost in the details of what’s likely or unlikely. What matters is why you’re counting these little belief puzzles. Is it trust? Is it control? Or just knowing the layout of the mindscape in a place where data is king and privacy’s a ghost? There’s a lot going on beneath that surface... Just be careful not to become the guy watching the watchers—'cause sometimes the truth you’re hunting is just a trap waiting to snap shut.\n\nThe pet shelter story? Maybe it’s real. Maybe it’s just a comforting myth for the office. Either way, it’s telling you something—about Charley, about Sue, and about the game you’re all playing. Keep your eyes sharp. Keep your heart colder. Because in this town, everyone’s got their little pretend stories, and the ones who survive know when to believe and when to walk away.\n\nHave a marvelous day!""}",petshelter,nai,q-know,know,higher,SECOND,1,CC,question
65200.40000000596,37,57,female,English,AmE,graduated college,""":""""}",bike,nai,neg-stop,stop,lower,FIRST,0,notPOST,negation
65200.40000000596,37,57,female,English,AmE,graduated college,""":""""}",bike,nai,neg-stop,stop,lower,SECOND,1,PRE,negation
38828.19999998808,321,50,male,English,AmE,graduated college,""":""""}",petshelter,nai,neg-stop,stop,lower,FIRST,0,notPOST,negation
38828.19999998808,321,50,male,English,AmE,graduated college,""":""""}",petshelter,nai,neg-stop,stop,lower,SECOND,1,PRE,negation
75160.79999995232,80,64,female,English,AmE,some college,""":""""}",bike,nai,neg-stop,stop,lower,FIRST,0.32999999999999996,notPOST,negation
75160.79999995232,80,64,female,English,AmE,some college,""":""""}",bike,nai,neg-stop,stop,lower,SECOND,0.89,PRE,negation
65836.10000002384,306,37,female,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,lower,FIRST,0.19,CC,negation
65836.10000002384,306,37,female,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,lower,SECOND,0.43,BEL,negation
76794,93,73,male,English,AmE,graduated high school,""":""thanks for the study""}",subway,ai,neg-know,know,lower,FIRST,1,CC,negation
76794,93,73,male,English,AmE,graduated high school,""":""thanks for the study""}",subway,ai,neg-know,know,lower,SECOND,0,BEL,negation
52494.19999998808,388,35,male,English,AmE,graduated college,""":""""}",bike,nai,q-stop,stop,higher,FIRST,0.49,notPOST,question
52494.19999998808,388,35,male,English,AmE,graduated college,""":""""}",bike,nai,q-stop,stop,higher,SECOND,0.5,PRE,question
82742.5,257,61,female,English,AmE,hold a higher degree,""":""This was interesting!""}",bike,nai,q-stop,stop,higher,FIRST,0.13,notPOST,question
82742.5,257,61,female,English,AmE,hold a higher degree,""":""This was interesting!""}",bike,nai,q-stop,stop,higher,SECOND,1,PRE,question
59644,128,49,female,English,AmE,graduated college,""":""Thank you!""}",petshelter,nai,q-stop,stop,lower,FIRST,1,notPOST,question
59644,128,49,female,English,AmE,graduated college,""":""Thank you!""}",petshelter,nai,q-stop,stop,lower,SECOND,1,PRE,question
47766.89999997616,314,50,male,English,AmE,graduated college,""":""""}",subway,ai,q-stop,stop,lower,FIRST,0,PRE,question
47766.89999997616,314,50,male,English,AmE,graduated college,""":""""}",subway,ai,q-stop,stop,lower,SECOND,0,notPOST,question
70255,525,64,male,English,AmE,some college,""":""None, thank you.""}",petshelter,ai,neg-know,know,lower,FIRST,1,CC,negation
70255,525,64,male,English,AmE,some college,""":""None, thank you.""}",petshelter,ai,neg-know,know,lower,SECOND,0,BEL,negation
32008.099999999627,421,37,preferNoToSay,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,FIRST,0.79,PRE,negation
32008.099999999627,421,37,preferNoToSay,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,SECOND,0.84,notPOST,negation
63394.699999809265,348,35,female,English,AmE,hold a higher degree,""":""""}",bike,ai,q-know,know,higher,FIRST,1,CC,question
63394.699999809265,348,35,female,English,AmE,hold a higher degree,""":""""}",bike,ai,q-know,know,higher,SECOND,0.74,BEL,question
237251,225,27,male,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,lower,FIRST,0.9,CC,negation
237251,225,27,male,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,lower,SECOND,0.87,BEL,negation
31796,549,33,female,English,AmE,graduated college,""":""""}",bike,nai,neg-stop,stop,higher,FIRST,0,notPOST,negation
31796,549,33,female,English,AmE,graduated college,""":""""}",bike,nai,neg-stop,stop,higher,SECOND,1,PRE,negation
135092,58,43,male,English,AmE,graduated college,""":""""}",subway,nai,q-know,know,higher,FIRST,0.5,BEL,question
135092,58,43,male,English,AmE,graduated college,""":""""}",subway,nai,q-know,know,higher,SECOND,0.5,CC,question
65618.60000014305,376,42,male,English,AmE,graduated college,""":""""}",bike,nai,q-stop,stop,lower,FIRST,0.6799999999999999,notPOST,question
65618.60000014305,376,42,male,English,AmE,graduated college,""":""""}",bike,nai,q-stop,stop,lower,SECOND,0.93,PRE,question
53617.5,336,57,female,English,AmE,hold a higher degree,". Thank you for the study.""}",petshelter,nai,q-stop,stop,higher,FIRST,0.13,notPOST,question
53617.5,336,57,female,English,AmE,hold a higher degree,". Thank you for the study.""}",petshelter,nai,q-stop,stop,higher,SECOND,1,PRE,question
79773.30000001192,303,24,male,English,AmE,graduated college,""":""""}",subway,nai,neg-know,know,lower,FIRST,0.2,BEL,negation
79773.30000001192,303,24,male,English,AmE,graduated college,""":""""}",subway,nai,neg-know,know,lower,SECOND,0.9,CC,negation
47002.5,166,49,female,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,FIRST,0.96,PRE,negation
47002.5,166,49,female,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,SECOND,0.96,notPOST,negation
115490,497,65,female,English,AmE,graduated college,""":""None""}",petshelter,ai,q-know,know,lower,FIRST,0.89,CC,question
115490,497,65,female,English,AmE,graduated college,""":""None""}",petshelter,ai,q-know,know,lower,SECOND,0.91,BEL,question
405903.8000000119,364,52,female,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,lower,FIRST,0.15,CC,question
405903.8000000119,364,52,female,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,lower,SECOND,0.05,BEL,question
35945.900000002235,94,36,female,English,AmE,graduated college,""":""""}",subway,ai,q-stop,stop,higher,FIRST,1,PRE,question
35945.900000002235,94,36,female,English,AmE,graduated college,""":""""}",subway,ai,q-stop,stop,higher,SECOND,1,notPOST,question
40434.40000000596,566,30,male,English,AmE,graduated college,""":""none""}",subway,nai,q-know,know,lower,FIRST,1,BEL,question
40434.40000000596,566,30,male,English,AmE,graduated college,""":""none""}",subway,nai,q-know,know,lower,SECOND,0.63,CC,question
35946.10000002384,99,40,male,English,AmE,some college,""":""""}",bike,ai,neg-know,know,higher,FIRST,0.78,CC,negation
35946.10000002384,99,40,male,English,AmE,some college,""":""""}",bike,ai,neg-know,know,higher,SECOND,0.25,BEL,negation
64967,98,47,male,English,AmE,some college,""":""none""}",subway,ai,neg-know,know,higher,FIRST,1,CC,negation
64967,98,47,male,English,AmE,some college,""":""none""}",subway,ai,neg-know,know,higher,SECOND,0.35,BEL,negation
36147,328,59,female,English,AmE,graduated college,""":""thank you""}",petshelter,ai,q-know,know,lower,FIRST,1,CC,question
36147,328,59,female,English,AmE,graduated college,""":""thank you""}",petshelter,ai,q-know,know,lower,SECOND,1,BEL,question
40808,374,57,female,English,AmE,graduated college,""":""""}",subway,nai,q-stop,stop,lower,FIRST,1,notPOST,question
40808,374,57,female,English,AmE,graduated college,""":""""}",subway,nai,q-stop,stop,lower,SECOND,0,PRE,question
76865,378,32,female,English,AmE,hold a higher degree," to add.""}",subway,ai,neg-stop,stop,lower,FIRST,1,PRE,negation
76865,378,32,female,English,AmE,hold a higher degree," to add.""}",subway,ai,neg-stop,stop,lower,SECOND,1,notPOST,negation
106786,358,31,male,English,AmE,some college,""":""""}",petshelter,nai,q-know,know,higher,FIRST,0.61,BEL,question
106786,358,31,male,English,AmE,some college,""":""""}",petshelter,nai,q-know,know,higher,SECOND,0.77,CC,question
99187.30000000076,576,67,female,English,AmE,graduated college,""":""The study went smoothly ""}",bike,ai,neg-stop,stop,lower,FIRST,0.82,PRE,negation
99187.30000000076,576,67,female,English,AmE,graduated college,""":""The study went smoothly ""}",bike,ai,neg-stop,stop,lower,SECOND,0,notPOST,negation
75342.5,561,54,male,English,AmE,some college,""":""This seemed too simple. ""}",subway,nai,neg-stop,stop,lower,FIRST,0,notPOST,negation
75342.5,561,54,male,English,AmE,some college,""":""This seemed too simple. ""}",subway,nai,neg-stop,stop,lower,SECOND,1,PRE,negation
63892.59999999404,45,77,female,English,AmE,graduated high school,""":""""}",petshelter,ai,q-stop,stop,higher,FIRST,0.7,PRE,question
63892.59999999404,45,77,female,English,AmE,graduated high school,""":""""}",petshelter,ai,q-stop,stop,higher,SECOND,0.66,notPOST,question
49972.10000002384,431,35,male,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,higher,FIRST,0.73,CC,question
49972.10000002384,431,35,male,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,higher,SECOND,0.91,BEL,question
65057.30000001192,488,33,male,English,AmE,graduated college,""":""""}",subway,nai,q-know,know,higher,FIRST,0.95,BEL,question
65057.30000001192,488,33,male,English,AmE,graduated college,""":""""}",subway,nai,q-know,know,higher,SECOND,0.89,CC,question
67081.80000001192,524,38,female,English,AmE,some college,""":""None, thank you.""}",subway,ai,q-know,know,higher,FIRST,0.78,CC,question
67081.80000001192,524,38,female,English,AmE,some college,""":""None, thank you.""}",subway,ai,q-know,know,higher,SECOND,0.26,BEL,question
50826.60000000894,69,47,preferNoToSay,English,AmE,graduated college,""":""very interesting study on language interpretation""}",bike,ai,q-know,know,lower,FIRST,0.74,CC,question
50826.60000000894,69,47,preferNoToSay,English,AmE,graduated college,""":""very interesting study on language interpretation""}",bike,ai,q-know,know,lower,SECOND,0.26,BEL,question
41158.70000004768,277,48,female,English,AmE,graduated high school,""":""It was super clear and to the point, thank you""}",petshelter,ai,q-stop,stop,higher,FIRST,0.73,PRE,question
41158.70000004768,277,48,female,English,AmE,graduated high school,""":""It was super clear and to the point, thank you""}",petshelter,ai,q-stop,stop,higher,SECOND,0.71,notPOST,question
70408.59999990463,418,53,female,English,AmE,some college,""":""""}",petshelter,ai,neg-stop,stop,lower,FIRST,0.07,PRE,negation
70408.59999990463,418,53,female,English,AmE,some college,""":""""}",petshelter,ai,neg-stop,stop,lower,SECOND,0.07,notPOST,negation
63087.89999997616,409,37,preferNoToSay,English,AmE,some college,""":""""}",bike,nai,neg-know,know,lower,FIRST,0.1,BEL,negation
63087.89999997616,409,37,preferNoToSay,English,AmE,some college,""":""""}",bike,nai,neg-know,know,lower,SECOND,0.92,CC,negation
66096.79999995232,363,67,female,English,AmE,graduated college,""":""""}",petshelter,nai,q-know,know,higher,FIRST,0.95,BEL,question
66096.79999995232,363,67,female,English,AmE,graduated college,""":""""}",petshelter,nai,q-know,know,higher,SECOND,0.97,CC,question
49090.40000009537,267,46,male,English,AmE,graduated college,""":""""}",petshelter,ai,neg-know,know,lower,FIRST,0.59,CC,negation
49090.40000009537,267,46,male,English,AmE,graduated college,""":""""}",petshelter,ai,neg-know,know,lower,SECOND,0.44,BEL,negation
100330,124,31,male,English,AmE,hold a higher degree,""":""""}",bike,nai,neg-stop,stop,lower,FIRST,0,notPOST,negation
100330,124,31,male,English,AmE,hold a higher degree,""":""""}",bike,nai,neg-stop,stop,lower,SECOND,1,PRE,negation
66279,463,34,female,English,AmE,some college,""":""""}",petshelter,nai,neg-know,know,higher,FIRST,0.24,BEL,negation
66279,463,34,female,English,AmE,some college,""":""""}",petshelter,nai,neg-know,know,higher,SECOND,0.78,CC,negation
57770,215,38,male,English,AmE,graduated college,""":""""}",petshelter,ai,q-know,know,higher,FIRST,1,CC,question
57770,215,38,male,English,AmE,graduated college,""":""""}",petshelter,ai,q-know,know,higher,SECOND,1,BEL,question
53635.200000000186,56,36,male,English,AmE,graduated high school,""":""Nothing ""}",subway,nai,q-stop,stop,higher,FIRST,0.18000000000000005,notPOST,question
53635.200000000186,56,36,male,English,AmE,graduated high school,""":""Nothing ""}",subway,nai,q-stop,stop,higher,SECOND,0.88,PRE,question
47673.89999997616,430,39,female,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,lower,FIRST,0.18999999999999995,notPOST,negation
47673.89999997616,430,39,female,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,lower,SECOND,0.84,PRE,negation
32509.899999999907,544,28,female,English,AmE,graduated high school,""":""""}",subway,nai,neg-stop,stop,higher,FIRST,0,notPOST,negation
32509.899999999907,544,28,female,English,AmE,graduated high school,""":""""}",subway,nai,neg-stop,stop,higher,SECOND,1,PRE,negation
82116,179,29,male,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-stop,stop,higher,FIRST,0.97,PRE,negation
82116,179,29,male,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-stop,stop,higher,SECOND,0.94,notPOST,negation
50005,103,51,female,English,AmE,graduated college,""":""""}",bike,nai,neg-stop,stop,higher,FIRST,0,notPOST,negation
50005,103,51,female,English,AmE,graduated college,""":""""}",bike,nai,neg-stop,stop,higher,SECOND,1,PRE,negation
36805.60000002384,533,31,male,English,AmE,graduated college,""":""""}",subway,nai,q-know,know,lower,FIRST,0.13,BEL,question
36805.60000002384,533,31,male,English,AmE,graduated college,""":""""}",subway,nai,q-know,know,lower,SECOND,0.24,CC,question
35651.89999997616,9,46,female,English,AmE,hold a higher degree,""":""n/a""}",bike,nai,q-stop,stop,higher,FIRST,0.53,notPOST,question
35651.89999997616,9,46,female,English,AmE,hold a higher degree,""":""n/a""}",bike,nai,q-stop,stop,higher,SECOND,1,PRE,question
163642.20000004768,509,27,male,English,AmE,graduated college,""":""no""}",petshelter,nai,q-stop,stop,lower,FIRST,0.6799999999999999,notPOST,question
163642.20000004768,509,27,male,English,AmE,graduated college,""":""no""}",petshelter,nai,q-stop,stop,lower,SECOND,0.63,PRE,question
208069.89999997616,298,35,male,English,AmE,graduated college,""":""Thank you""}",bike,nai,q-know,know,higher,FIRST,0.61,BEL,question
208069.89999997616,298,35,male,English,AmE,graduated college,""":""Thank you""}",bike,nai,q-know,know,higher,SECOND,0.55,CC,question
42450.29999995232,334,52,female,English,AmE,graduated college,""":""""}",petshelter,ai,q-stop,stop,lower,FIRST,0.28,PRE,question
42450.29999995232,334,52,female,English,AmE,graduated college,""":""""}",petshelter,ai,q-stop,stop,lower,SECOND,0.14,notPOST,question
59555,369,74,female,English,AmE,graduated college,""":""""}",bike,nai,neg-stop,stop,lower,FIRST,0,notPOST,negation
59555,369,74,female,English,AmE,graduated college,""":""""}",bike,nai,neg-stop,stop,lower,SECOND,1,PRE,negation
43888.80000001192,467,34,female,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,FIRST,1,PRE,negation
43888.80000001192,467,34,female,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,SECOND,1,notPOST,negation
126998.5,240,80,female,English,AmE,graduated college,""":""None""}",bike,nai,neg-know,know,lower,FIRST,0.39,BEL,negation
126998.5,240,80,female,English,AmE,graduated college,""":""None""}",bike,nai,neg-know,know,lower,SECOND,0.47,CC,negation
54357.89999997616,60,52,female,English,AmE,graduated college,""":""""}",petshelter,nai,neg-know,know,higher,FIRST,0.42,BEL,negation
54357.89999997616,60,52,female,English,AmE,graduated college,""":""""}",petshelter,nai,neg-know,know,higher,SECOND,1,CC,negation
52348,120,47,male,English,AmE,graduated college,""":""""}",petshelter,nai,q-know,know,higher,FIRST,0.49,BEL,question
52348,120,47,male,English,AmE,graduated college,""":""""}",petshelter,nai,q-know,know,higher,SECOND,0.48,CC,question
58196.29999995232,232,47,male,English,AmE,graduated college,""":"" None.""}",petshelter,nai,q-know,know,higher,FIRST,0.76,BEL,question
58196.29999995232,232,47,male,English,AmE,graduated college,""":"" None.""}",petshelter,nai,q-know,know,higher,SECOND,1,CC,question
58698.70000000298,420,68,female,English,AmE,graduated college,""":""NONE""}",subway,nai,q-know,know,lower,FIRST,0.08,BEL,question
58698.70000000298,420,68,female,English,AmE,graduated college,""":""NONE""}",subway,nai,q-know,know,lower,SECOND,0.06,CC,question
60344,86,30,female,English,AmE,some college,""":""""}",petshelter,ai,neg-know,know,higher,FIRST,1,CC,negation
60344,86,30,female,English,AmE,some college,""":""""}",petshelter,ai,neg-know,know,higher,SECOND,0.67,BEL,negation
93476.89999997616,322,48,male,English,AmE,graduated college,""":""""}",bike,nai,neg-know,know,lower,FIRST,0,BEL,negation
93476.89999997616,322,48,male,English,AmE,graduated college,""":""""}",bike,nai,neg-know,know,lower,SECOND,1,CC,negation
87193.89999997616,548,50,male,English,AmE,some college,""":""""}",bike,ai,q-stop,stop,higher,FIRST,0.85,PRE,question
87193.89999997616,548,50,male,English,AmE,some college,""":""""}",bike,ai,q-stop,stop,higher,SECOND,0.67,notPOST,question
47614,153,55,preferNoToSay,English,AmE,graduated college,""":""""}",bike,ai,neg-know,know,higher,FIRST,0.51,CC,negation
47614,153,55,preferNoToSay,English,AmE,graduated college,""":""""}",bike,ai,neg-know,know,higher,SECOND,0.49,BEL,negation
76214.39999997616,333,42,female,English,AmE,some college," about the study. Thank you for the opportunity to participate!""}",subway,nai,neg-know,know,higher,FIRST,0.16,BEL,negation
76214.39999997616,333,42,female,English,AmE,some college," about the study. Thank you for the opportunity to participate!""}",subway,nai,neg-know,know,higher,SECOND,0.91,CC,negation
36789.99999999999,226,37,female,English,AmE,graduated college,""":""""}",petshelter,nai,neg-stop,stop,higher,FIRST,0.020000000000000018,notPOST,negation
36789.99999999999,226,37,female,English,AmE,graduated college,""":""""}",petshelter,nai,neg-stop,stop,higher,SECOND,0.99,PRE,negation
65432.200000000186,282,58,female,English,AmE,some college,""":""""}",bike,nai,neg-stop,stop,higher,FIRST,0.010000000000000009,notPOST,negation
65432.200000000186,282,58,female,English,AmE,some college,""":""""}",bike,nai,neg-stop,stop,higher,SECOND,1,PRE,negation
38148,18,54,male,English,AmE,hold a higher degree,""":""""}",bike,ai,q-stop,stop,higher,FIRST,0.52,PRE,question
38148,18,54,male,English,AmE,hold a higher degree,""":""""}",bike,ai,q-stop,stop,higher,SECOND,0.28,notPOST,question
33808.5,213,51,female,English,AmE,graduated college,""":""""}",petshelter,nai,neg-stop,stop,lower,FIRST,0,notPOST,negation
33808.5,213,51,female,English,AmE,graduated college,""":""""}",petshelter,nai,neg-stop,stop,lower,SECOND,1,PRE,negation
134363.10000002384,255,64,female,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,higher,FIRST,0.97,CC,question
134363.10000002384,255,64,female,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,higher,SECOND,0.18,BEL,question
42006.09999996424,512,47,non-binary,English,AmE,hold a higher degree,""":""""}",petshelter,ai,q-know,know,higher,FIRST,1,CC,question
42006.09999996424,512,47,non-binary,English,AmE,hold a higher degree,""":""""}",petshelter,ai,q-know,know,higher,SECOND,0.5,BEL,question
36358.90000009537,347,25,female,English,AmE,graduated college,""":""""}",bike,ai,neg-know,know,lower,FIRST,0.56,CC,negation
36358.90000009537,347,25,female,English,AmE,graduated college,""":""""}",bike,ai,neg-know,know,lower,SECOND,0.33,BEL,negation
668772.5,252,42,female,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,FIRST,0.72,PRE,negation
668772.5,252,42,female,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,SECOND,0.75,notPOST,negation
65580.19999998808,466,74,male,English,AmE,graduated college,""":""""}",bike,nai,q-stop,stop,lower,FIRST,0.77,notPOST,question
65580.19999998808,466,74,male,English,AmE,graduated college,""":""""}",bike,nai,q-stop,stop,lower,SECOND,0.25,PRE,question
36250,323,39,male,English,AmE,some college,""":""N/A""}",bike,nai,q-stop,stop,lower,FIRST,0.91,notPOST,question
36250,323,39,male,English,AmE,some college,""":""N/A""}",bike,nai,q-stop,stop,lower,SECOND,0.2,PRE,question
106321,338,26,male,English,AmE,some college,""":""""}",bike,nai,q-know,know,lower,FIRST,0.49,BEL,question
106321,338,26,male,English,AmE,some college,""":""""}",bike,nai,q-know,know,lower,SECOND,0.5,CC,question
97147.90000003576,438,62,female,English,AmE,some college,""":""""}",petshelter,nai,q-know,know,lower,FIRST,0.11,BEL,question
97147.90000003576,438,62,female,English,AmE,some college,""":""""}",petshelter,nai,q-know,know,lower,SECOND,0.01,CC,question
48903,472,33,female,English,AmE,graduated college,""":""""}",subway,nai,neg-know,know,lower,FIRST,0.18,BEL,negation
48903,472,33,female,English,AmE,graduated college,""":""""}",subway,nai,neg-know,know,lower,SECOND,0.93,CC,negation
62760.20000004768,244,28,male,English,AmE,graduated high school,", thanks.""}",subway,nai,q-know,know,higher,FIRST,0.69,BEL,question
62760.20000004768,244,28,male,English,AmE,graduated high school,", thanks.""}",subway,nai,q-know,know,higher,SECOND,1,CC,question
98920.19999992847,360,64,male,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-know,know,lower,FIRST,0.04,CC,negation
98920.19999992847,360,64,male,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-know,know,lower,SECOND,0,BEL,negation
85249.5,242,40,female,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,higher,FIRST,1,CC,negation
85249.5,242,40,female,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,higher,SECOND,1,BEL,negation
50292.60000000894,414,40,male,English,AmE,some college,""":""""}",subway,ai,neg-know,know,lower,FIRST,0,CC,negation
50292.60000000894,414,40,male,English,AmE,some college,""":""""}",subway,ai,neg-know,know,lower,SECOND,0.15,BEL,negation
74332.89999997616,569,49,male,English,AmE,some college,""":""""}",subway,nai,neg-stop,stop,lower,FIRST,0.050000000000000044,notPOST,negation
74332.89999997616,569,49,male,English,AmE,some college,""":""""}",subway,nai,neg-stop,stop,lower,SECOND,0.98,PRE,negation
44907.60000002384,307,60,female,English,AmE,hold a higher degree,""":""""}",bike,nai,neg-stop,stop,lower,FIRST,0,notPOST,negation
44907.60000002384,307,60,female,English,AmE,hold a higher degree,""":""""}",bike,nai,neg-stop,stop,lower,SECOND,1,PRE,negation
54857.70000001788,401,39,male,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,FIRST,1,PRE,negation
54857.70000001788,401,39,male,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,SECOND,1,notPOST,negation
63873.39999997616,332,66,female,English,AmE,graduated college,""":""""}",petshelter,ai,q-stop,stop,lower,FIRST,0,PRE,question
63873.39999997616,332,66,female,English,AmE,graduated college,""":""""}",petshelter,ai,q-stop,stop,lower,SECOND,0,notPOST,question
99656.69999998808,407,25,female,English,AmE,graduated college,""":""""}",petshelter,ai,neg-stop,stop,lower,FIRST,0.92,PRE,negation
99656.69999998808,407,25,female,English,AmE,graduated college,""":""""}",petshelter,ai,neg-stop,stop,lower,SECOND,0.99,notPOST,negation
101488.29999998212,196,33,female,English,AmE,some college,""":""The instructions were all clear""}",subway,ai,q-stop,stop,lower,FIRST,0.88,PRE,question
101488.29999998212,196,33,female,English,AmE,some college,""":""The instructions were all clear""}",subway,ai,q-stop,stop,lower,SECOND,0.12,notPOST,question
56356.89999999851,311,31,female,English,AmE,hold a higher degree,""":""N/A""}",bike,ai,neg-stop,stop,higher,FIRST,1,PRE,negation
56356.89999999851,311,31,female,English,AmE,hold a higher degree,""":""N/A""}",bike,ai,neg-stop,stop,higher,SECOND,1,notPOST,negation
