rt,participantID,age,gender,language,amE,education,comments,item,qud,utterance,verb,prior,responseFIRST,responseSECOND,responseFIRSTtype,responseSECONDtype
63307.59999996424,194,46,female,English,AmE,some college,""":""No comment.""}",subway,ai,neg-stop,stop,lower,1,0,PRE,notPOST
63898.5,166,59,male,English,AmE,graduated college,""":""It seems unreasonable that anyone would bike 20 miles to and from work, especially if it includes city traffic, potential for accidents, and is a professional job (IT). He'd arrive sweaty and tired, and then have to work all day in an office. It just seems unreasonable. ""}",bike,nai,q-stop,stop,lower,1,0,notPOST,PRE
105147.40000000596,481,49,male,English,AmE,some college,""":""""}",subway,ai,neg-know,know,higher,0.74,0.49,CC,BEL
77526.69999998808,328,70,female,English,AmE,graduated college,""":""Thank you.  All in your study went well.""}",subway,ai,q-stop,stop,lower,1,0.73,PRE,notPOST
79814.40000009537,158,50,female,English,AmE,hold a higher degree,""":""na""}",subway,ai,q-stop,stop,lower,0,1,PRE,notPOST
48753.60000002384,203,30,female,English,AmE,graduated college,""":""""}",subway,ai,neg-stop,stop,higher,0.95,0.050000000000000044,PRE,notPOST
55505.59999996424,85,47,male,English,AmE,graduated college,""":""nope""}",subway,nai,neg-stop,stop,higher,0,1,notPOST,PRE
67369,76,40,male,English,AmE,graduated high school,""":""""}",bike,nai,q-know,know,higher,0.51,0.65,BEL,CC
98115.89999997616,436,59,male,English,AmE,some college,""":""This was an interesting study. Thank you for the opportunity.""}",bike,nai,neg-know,know,lower,1,1,BEL,CC
60090.30000001192,258,60,female,English,AmE,graduated college,""":""""}",subway,ai,neg-stop,stop,lower,1,0,PRE,notPOST
60941,457,52,female,English,AmE,some college,""":""nothing to comment on. very straightforward.  I don't know what this experiment proves though.""}",subway,nai,neg-know,know,lower,0.32,1,BEL,CC
65229.89999997616,55,75,female,English,AmE,some college,""":""""}",subway,ai,neg-know,know,higher,0.41,0.38,CC,BEL
39730.80000001192,378,67,female,English,AmE,graduated college,""":""""}",petshelter,nai,q-know,know,higher,1,1,BEL,CC
64638.5,159,68,female,English,AmE,graduated college,""":""Thank you for allowing me to participate!!""}",bike,nai,neg-stop,stop,higher,0.040000000000000036,0.96,notPOST,PRE
137560.40000000596,434,42,female,English,AmE,some college,""":""""}",bike,nai,neg-know,know,higher,0.11,0.5,BEL,CC
37515,563,44,male,English,AmE,graduated college,""":""""}",petshelter,ai,neg-stop,stop,lower,1,0,PRE,notPOST
102998.39999997616,164,77,female,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-know,know,higher,1,0,CC,BEL
54501.70000000298,455,29,male,English,AmE,hold a higher degree,""":""""}",subway,nai,q-know,know,higher,0.28,0.77,BEL,CC
109355.89999999944,210,20,female,English,AmE,graduated college,""":""My experience in the study was smooth.""}",bike,ai,neg-know,know,higher,1,0,CC,BEL
49005.90000000002,569,41,female,English,AmE,some college,""":""""}",petshelter,nai,q-know,know,lower,0.2,0.21,BEL,CC
88601.60000002384,317,51,male,English,AmE,graduated college,""":""None, thank you.""}",bike,nai,neg-know,know,lower,0,1,BEL,CC
45326.10000000009,216,43,female,English,AmE,hold a higher degree,""":""N/A""}",subway,nai,neg-stop,stop,lower,0.12,0.91,notPOST,PRE
38208,599,35,preferNoToSay,English,AmE,hold a higher degree,""":""""}",subway,ai,q-know,know,higher,1,1,CC,BEL
66462.20000004768,470,23,female,English,AmE,some college,""":""""}",subway,ai,neg-stop,stop,lower,0.22,0.77,PRE,notPOST
662309.8000000715,220,33,female,English,AmE,hold a higher degree,""":""Good study!""}",subway,nai,q-know,know,lower,0,0,BEL,CC
137875.40000000037,528,45,male,English,AmE,some college,""":""Listen up, good people. This whole setup smells like a damn surveillance game disguised as concern for pets and promotions. Tracking who knows what about Charley’s pastimes? It’s like sitting in a coffee shop, watching people’s shadows, trying to guess their secrets. You want to figure out whether Sue thinks Charley played hero at the pet shelter before climbing the ladder? That’s a power play, a little mind game. People and their hobbies—sometimes they’re just stories people wanna believe. Maybe Sue believes it 'cause it fits the picture she wants to see: Charley the animal lover, the good guy volunteering before the suit and tie.\n\nBut dive deeper—I’d say don’t get lost in the details of what’s likely or unlikely. What matters is why you’re counting these little belief puzzles. Is it trust? Is it control? Or just knowing the layout of the mindscape in a place where data is king and privacy’s a ghost? There’s a lot going on beneath that surface... Just be careful not to become the guy watching the watchers—'cause sometimes the truth you’re hunting is just a trap waiting to snap shut.\n\nThe pet shelter story? Maybe it’s real. Maybe it’s just a comforting myth for the office. Either way, it’s telling you something—about Charley, about Sue, and about the game you’re all playing. Keep your eyes sharp. Keep your heart colder. Because in this town, everyone’s got their little pretend stories, and the ones who survive know when to believe and when to walk away.\n\nHave a marvelous day!""}",petshelter,nai,q-know,know,higher,1,1,BEL,CC
65200.40000000596,45,57,female,English,AmE,graduated college,""":""""}",bike,nai,neg-stop,stop,lower,0,1,notPOST,PRE
38828.19999998808,357,50,male,English,AmE,graduated college,""":""""}",petshelter,nai,neg-stop,stop,lower,0,1,notPOST,PRE
75160.79999995232,90,64,female,English,AmE,some college,""":""""}",bike,nai,neg-stop,stop,lower,0.32999999999999996,0.89,notPOST,PRE
65836.10000002384,340,37,female,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,lower,0.19,0.43,CC,BEL
76794,106,73,male,English,AmE,graduated high school,""":""thanks for the study""}",subway,ai,neg-know,know,lower,1,0,CC,BEL
52494.19999998808,431,35,male,English,AmE,graduated college,""":""""}",bike,nai,q-stop,stop,higher,0.49,0.5,notPOST,PRE
82742.5,287,61,female,English,AmE,hold a higher degree,""":""This was interesting!""}",bike,nai,q-stop,stop,higher,0.13,1,notPOST,PRE
59644,141,49,female,English,AmE,graduated college,""":""Thank you!""}",petshelter,nai,q-stop,stop,lower,1,1,notPOST,PRE
47766.89999997616,349,50,male,English,AmE,graduated college,""":""""}",subway,ai,q-stop,stop,lower,0,1,PRE,notPOST
70255,582,64,male,English,AmE,some college,""":""None, thank you.""}",petshelter,ai,neg-know,know,lower,1,0,CC,BEL
32008.099999999627,469,37,preferNoToSay,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,0.79,0.16000000000000003,PRE,notPOST
63394.699999809265,387,35,female,English,AmE,hold a higher degree,""":""""}",bike,ai,q-know,know,higher,1,0.74,CC,BEL
237251,253,27,male,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,lower,0.9,0.87,CC,BEL
31796,607,33,female,English,AmE,graduated college,""":""""}",bike,nai,neg-stop,stop,higher,0,1,notPOST,PRE
135092,67,43,male,English,AmE,graduated college,""":""""}",subway,nai,q-know,know,higher,0.5,0.5,BEL,CC
65618.60000014305,419,42,male,English,AmE,graduated college,""":""""}",bike,nai,q-stop,stop,lower,0.6799999999999999,0.93,notPOST,PRE
53617.5,374,57,female,English,AmE,hold a higher degree,". Thank you for the study.""}",petshelter,nai,q-stop,stop,higher,0.13,1,notPOST,PRE
79773.30000001192,337,24,male,English,AmE,graduated college,""":""""}",subway,nai,neg-know,know,lower,0.2,0.9,BEL,CC
47002.5,182,49,female,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,0.96,0.040000000000000036,PRE,notPOST
115490,551,65,female,English,AmE,graduated college,""":""None""}",petshelter,ai,q-know,know,lower,0.89,0.91,CC,BEL
405903.8000000119,404,52,female,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,lower,0.15,0.05,CC,BEL
35945.900000002235,107,36,female,English,AmE,graduated college,""":""""}",subway,ai,q-stop,stop,higher,1,0,PRE,notPOST
40434.40000000596,626,30,male,English,AmE,graduated college,""":""none""}",subway,nai,q-know,know,lower,1,0.63,BEL,CC
35946.10000002384,112,40,male,English,AmE,some college,""":""""}",bike,ai,neg-know,know,higher,0.78,0.25,CC,BEL
64967,111,47,male,English,AmE,some college,""":""none""}",subway,ai,neg-know,know,higher,1,0.35,CC,BEL
36147,365,59,female,English,AmE,graduated college,""":""thank you""}",petshelter,ai,q-know,know,lower,1,1,CC,BEL
40808,417,57,female,English,AmE,graduated college,""":""""}",subway,nai,q-stop,stop,lower,1,0,notPOST,PRE
76865,421,32,female,English,AmE,hold a higher degree," to add.""}",subway,ai,neg-stop,stop,lower,1,0,PRE,notPOST
106786,398,31,male,English,AmE,some college,""":""""}",petshelter,nai,q-know,know,higher,0.61,0.77,BEL,CC
99187.30000000076,637,67,female,English,AmE,graduated college,""":""The study went smoothly ""}",bike,ai,neg-stop,stop,lower,0.82,1,PRE,notPOST
75342.5,621,54,male,English,AmE,some college,""":""This seemed too simple. ""}",subway,nai,neg-stop,stop,lower,0,1,notPOST,PRE
63892.59999999404,54,77,female,English,AmE,graduated high school,""":""""}",petshelter,ai,q-stop,stop,higher,0.7,0.33999999999999997,PRE,notPOST
49972.10000002384,479,35,male,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,higher,0.73,0.91,CC,BEL
65057.30000001192,541,33,male,English,AmE,graduated college,""":""""}",subway,nai,q-know,know,higher,0.95,0.89,BEL,CC
67081.80000001192,581,38,female,English,AmE,some college,""":""None, thank you.""}",subway,ai,q-know,know,higher,0.78,0.26,CC,BEL
50826.60000000894,78,47,preferNoToSay,English,AmE,graduated college,""":""very interesting study on language interpretation""}",bike,ai,q-know,know,lower,0.74,0.26,CC,BEL
41158.70000004768,308,48,female,English,AmE,graduated high school,""":""It was super clear and to the point, thank you""}",petshelter,ai,q-stop,stop,higher,0.73,0.29000000000000004,PRE,notPOST
70408.59999990463,465,53,female,English,AmE,some college,""":""""}",petshelter,ai,neg-stop,stop,lower,0.07,0.9299999999999999,PRE,notPOST
63087.89999997616,454,37,preferNoToSay,English,AmE,some college,""":""""}",bike,nai,neg-know,know,lower,0.1,0.92,BEL,CC
66096.79999995232,403,67,female,English,AmE,graduated college,""":""""}",petshelter,nai,q-know,know,higher,0.95,0.97,BEL,CC
49090.40000009537,298,46,male,English,AmE,graduated college,""":""""}",petshelter,ai,neg-know,know,lower,0.59,0.44,CC,BEL
100330,137,31,male,English,AmE,hold a higher degree,""":""""}",bike,nai,neg-stop,stop,lower,0,1,notPOST,PRE
66279,513,34,female,English,AmE,some college,""":""""}",petshelter,nai,neg-know,know,higher,0.24,0.78,BEL,CC
57770,243,38,male,English,AmE,graduated college,""":""""}",petshelter,ai,q-know,know,higher,1,1,CC,BEL
53635.200000000186,65,36,male,English,AmE,graduated high school,""":""Nothing ""}",subway,nai,q-stop,stop,higher,0.18000000000000005,0.88,notPOST,PRE
47673.89999997616,478,39,female,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,lower,0.18999999999999995,0.84,notPOST,PRE
32509.899999999907,601,28,female,English,AmE,graduated high school,""":""""}",subway,nai,neg-stop,stop,higher,0,1,notPOST,PRE
82116,197,29,male,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-stop,stop,higher,0.97,0.06000000000000005,PRE,notPOST
50005,116,51,female,English,AmE,graduated college,""":""""}",bike,nai,neg-stop,stop,higher,0,1,notPOST,PRE
36805.60000002384,590,31,male,English,AmE,graduated college,""":""""}",subway,nai,q-know,know,lower,0.13,0.24,BEL,CC
35651.89999997616,11,46,female,English,AmE,hold a higher degree,""":""n/a""}",bike,nai,q-stop,stop,higher,0.53,1,notPOST,PRE
163642.20000004768,564,27,male,English,AmE,graduated college,""":""no""}",petshelter,nai,q-stop,stop,lower,0.6799999999999999,0.63,notPOST,PRE
208069.89999997616,332,35,male,English,AmE,graduated college,""":""Thank you""}",bike,nai,q-know,know,higher,0.61,0.55,BEL,CC
42450.29999995232,372,52,female,English,AmE,graduated college,""":""""}",petshelter,ai,q-stop,stop,lower,0.28,0.86,PRE,notPOST
59555,412,74,female,English,AmE,graduated college,""":""""}",bike,nai,neg-stop,stop,lower,0,1,notPOST,PRE
43888.80000001192,517,34,female,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,1,0,PRE,notPOST
126998.5,269,80,female,English,AmE,graduated college,""":""None""}",bike,nai,neg-know,know,lower,0.39,0.47,BEL,CC
54357.89999997616,69,52,female,English,AmE,graduated college,""":""""}",petshelter,nai,neg-know,know,higher,0.42,1,BEL,CC
52348,133,47,male,English,AmE,graduated college,""":""""}",petshelter,nai,q-know,know,higher,0.49,0.48,BEL,CC
58196.29999995232,260,47,male,English,AmE,graduated college,""":"" None.""}",petshelter,nai,q-know,know,higher,0.76,1,BEL,CC
58698.70000000298,468,68,female,English,AmE,graduated college,""":""NONE""}",subway,nai,q-know,know,lower,0.08,0.06,BEL,CC
60344,96,30,female,English,AmE,some college,""":""""}",petshelter,ai,neg-know,know,higher,1,0.67,CC,BEL
93476.89999997616,358,48,male,English,AmE,graduated college,""":""""}",bike,nai,neg-know,know,lower,0,1,BEL,CC
87193.89999997616,606,50,male,English,AmE,some college,""":""""}",bike,ai,q-stop,stop,higher,0.85,0.32999999999999996,PRE,notPOST
47614,169,55,preferNoToSay,English,AmE,graduated college,""":""""}",bike,ai,neg-know,know,higher,0.51,0.49,CC,BEL
76214.39999997616,371,42,female,English,AmE,some college," about the study. Thank you for the opportunity to participate!""}",subway,nai,neg-know,know,higher,0.16,0.91,BEL,CC
36789.99999999999,254,37,female,English,AmE,graduated college,""":""""}",petshelter,nai,neg-stop,stop,higher,0.020000000000000018,0.99,notPOST,PRE
65432.200000000186,314,58,female,English,AmE,some college,""":""""}",bike,nai,neg-stop,stop,higher,0.010000000000000009,1,notPOST,PRE
38148,24,54,male,English,AmE,hold a higher degree,""":""""}",bike,ai,q-stop,stop,higher,0.52,0.72,PRE,notPOST
33808.5,241,51,female,English,AmE,graduated college,""":""""}",petshelter,nai,neg-stop,stop,lower,0,1,notPOST,PRE
134363.10000002384,285,64,female,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,higher,0.97,0.18,CC,BEL
42006.09999996424,568,47,non-binary,English,AmE,hold a higher degree,""":""""}",petshelter,ai,q-know,know,higher,1,0.5,CC,BEL
36358.90000009537,386,25,female,English,AmE,graduated college,""":""""}",bike,ai,neg-know,know,lower,0.56,0.33,CC,BEL
668772.5,282,42,female,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,0.72,0.25,PRE,notPOST
65580.19999998808,516,74,male,English,AmE,graduated college,""":""""}",bike,nai,q-stop,stop,lower,0.77,0.25,notPOST,PRE
36250,360,39,male,English,AmE,some college,""":""N/A""}",bike,nai,q-stop,stop,lower,0.91,0.2,notPOST,PRE
106321,376,26,male,English,AmE,some college,""":""""}",bike,nai,q-know,know,lower,0.49,0.5,BEL,CC
97147.90000003576,487,62,female,English,AmE,some college,""":""""}",petshelter,nai,q-know,know,lower,0.11,0.01,BEL,CC
48903,523,33,female,English,AmE,graduated college,""":""""}",subway,nai,neg-know,know,lower,0.18,0.93,BEL,CC
62760.20000004768,273,28,male,English,AmE,graduated high school,", thanks.""}",subway,nai,q-know,know,higher,0.69,1,BEL,CC
98920.19999992847,400,64,male,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-know,know,lower,0.04,0,CC,BEL
85249.5,271,40,female,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,higher,1,1,CC,BEL
50292.60000000894,461,40,male,English,AmE,some college,""":""""}",subway,ai,neg-know,know,lower,0,0.15,CC,BEL
74332.89999997616,629,49,male,English,AmE,some college,""":""""}",subway,nai,neg-stop,stop,lower,0.050000000000000044,0.98,notPOST,PRE
44907.60000002384,341,60,female,English,AmE,hold a higher degree,""":""""}",bike,nai,neg-stop,stop,lower,0,1,notPOST,PRE
54857.70000001788,444,39,male,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,lower,1,0,PRE,notPOST
63873.39999997616,370,66,female,English,AmE,graduated college,""":""""}",petshelter,ai,q-stop,stop,lower,0,1,PRE,notPOST
99656.69999998808,451,25,female,English,AmE,graduated college,""":""""}",petshelter,ai,neg-stop,stop,lower,0.92,0.010000000000000009,PRE,notPOST
101488.29999998212,218,33,female,English,AmE,some college,""":""The instructions were all clear""}",subway,ai,q-stop,stop,lower,0.88,0.88,PRE,notPOST
