rt,participantID,age,gender,language,amE,education,comments,item,qud,utterance,verb,prior,responseFIRST,responseSECOND,responseFIRSTtype,responseSECONDtype
34074,338,48,female,English,AmE,graduated college,""":""""}",bike,ai,q-stop,stop,lower,0.78,0.81,PRE,notPOST
79118.19999998808,286,54,male,English,AmE,graduated college,""":""""}",subway,ai,neg-stop,stop,lower,1,1,PRE,notPOST
33800,226,25,female,English,AmE,graduated college,""":""n/a""}",petshelter,ai,q-stop,stop,higher,0.66,0.69,PRE,notPOST
37054.70000000298,574,62,female,English,AmE,graduated college,""":""""}",subway,ai,q-know,know,higher,1,1,CC,BEL
73962.39999997616,115,36,female,English,AmE,graduated college,""":""""}",subway,ai,q-stop,stop,higher,0.93,0.06000000000000005,PRE,notPOST
76228.09999999963,512,62,male,English,AmE,some college,""":""it was fine""}",bike,ai,q-know,know,lower,0.17,0.19,CC,BEL
143141.5,28,50,female,English,AmE,hold a higher degree,""":""none""}",subway,ai,q-stop,stop,lower,0.75,0.19999999999999996,PRE,notPOST
107799.60000014304,259,60,male,English,AmE,graduated college,""":""""}",petshelter,nai,neg-know,know,higher,0,1,BEL,CC
58745.10000038147,140,64,male,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,lower,0,0,CC,BEL
44561,56,65,female,English,AmE,some college,""":""""}",bike,nai,neg-stop,stop,higher,0.040000000000000036,0.95,notPOST,PRE
80321.70000000112,3,34,male,English,AmE,graduated high school,""":""""}",bike,ai,neg-stop,stop,higher,1,0.010000000000000009,PRE,notPOST
65221.60000002384,497,70,female,English,AmE,graduated college,""":""""}",petshelter,ai,neg-know,know,higher,0.64,0.47,CC,BEL
80843.09999996424,445,60,female,English,AmE,graduated high school,""":""""}",bike,ai,q-stop,stop,lower,0.01,1,PRE,notPOST
37227.09999999404,178,39,female,English,AmE,graduated high school,""":""""}",petshelter,nai,q-know,know,lower,0,0,BEL,CC
84437.30000001192,520,46,male,English,AmE,graduated high school,""":""""}",petshelter,ai,q-stop,stop,lower,0.05,0.99,PRE,notPOST
46031.5,620,28,female,English,AmE,graduated college,""":""""}",bike,nai,q-know,know,higher,0.66,0.66,BEL,CC
63279.200000000186,162,35,male,English,AmE,graduated high school,""":""I think this is an interesting concept for a survey. You're trying to judge how people make assumptions based on information they know vs. information they don't.""}",petshelter,nai,neg-know,know,lower,0,1,BEL,CC
32574.5,339,55,male,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,higher,1,0,PRE,notPOST
58664.39999997616,593,67,female,English,AmE,graduated college,""":""None""}",bike,nai,q-know,know,lower,1,0.96,BEL,CC
57345,66,36,female,English,AmE,graduated college,""":""Thank you! I enjoyed participating. I wasn't sure if Charley was able to volunteer due to their allergy.""}",petshelter,ai,neg-stop,stop,lower,0.41,0.5,PRE,notPOST
48064.09999999404,552,57,female,English,AmE,graduated college,""":""""}",petshelter,nai,neg-stop,stop,higher,0.010000000000000009,1,notPOST,PRE
70667.99999999988,245,73,female,English,AmE,some college,""":""none""}",petshelter,nai,q-stop,stop,higher,0.24,0.97,notPOST,PRE
203937.19999998808,94,35,female,English,AmE,hold a higher degree,""":""""}",petshelter,ai,q-stop,stop,lower,0.28,0.94,PRE,notPOST
51004.59999996424,622,61,female,English,AmE,some college,""":""""}",petshelter,nai,neg-know,know,lower,0,0,BEL,CC
49523,297,42,male,English,AmE,some college,""":""Nothing further. ""}",bike,nai,q-stop,stop,higher,0.51,0.49,notPOST,PRE
41623,149,35,male,English,AmE,hold a higher degree,""":""The instructions and questions were clear and easy to follow. The scenario was straightforward and the reasoning required was simple and intuitive.""}",subway,nai,neg-stop,stop,higher,0,1,notPOST,PRE
75561.20000001788,463,32,female,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,lower,1,0,CC,BEL
54853.90000000002,306,56,female,English,AmE,graduated college,""":""none""}",subway,nai,neg-know,know,lower,0.13,0.23,BEL,CC
66290.39999997616,167,62,female,English,AmE,hold a higher degree,""":""""}",petshelter,ai,q-stop,stop,lower,0,1,PRE,notPOST
50661.89999997616,501,26,male,English,AmE,graduated high school,""":""""}",petshelter,ai,neg-know,know,higher,0.55,0.3,CC,BEL
51620.59999999404,334,66,female,English,AmE,graduated college,""":""I thought it was an interesting scenario. I think it is slightly more likely that the person biked before receiving a promotion than after although it could go either way because people have a variety of of reasons for wanting to bike to work including getting exercise and/or saving money, and/or environmental concerns. Thank you for the opportunity to participate; I greatly appreciate it!""}",bike,nai,q-stop,stop,lower,0.49,0.64,notPOST,PRE
42055.69999998808,396,52,female,English,AmE,graduated high school,""":""""}",petshelter,ai,q-know,know,higher,0.91,0.75,CC,BEL
69590.5,506,34,male,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-know,know,lower,0.85,0.13,CC,BEL
287962.1999999881,156,71,male,English,AmE,some college,""":""I thought what if the promotion also included a heavier workload. If it did would those promoted have time to bike as opposed to faster transportation. ""}",bike,nai,q-stop,stop,higher,0.27,0.73,notPOST,PRE
41225.100000000006,110,62,female,English,AmE,graduated high school,""":""""}",petshelter,ai,q-stop,stop,higher,0.78,0.24,PRE,notPOST
77512.69999999925,170,49,male,English,AmE,some college,""":""""}",bike,nai,neg-know,know,higher,0,0.82,BEL,CC
59148.09999996424,555,46,female,English,AmE,graduated college,""":""Nothing""}",petshelter,nai,q-know,know,lower,0.82,0.62,BEL,CC
30691.10000000149,368,24,male,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,higher,0,1,notPOST,PRE
82638,458,41,male,English,AmE,some college,""":""""}",petshelter,ai,neg-know,know,lower,0,0.78,CC,BEL
214183.19999999923,567,51,female,English,AmE,hold a higher degree,""":""No comment""}",subway,ai,neg-stop,stop,higher,1,0,PRE,notPOST
49214.5,104,42,male,English,AmE,some college,""":""none""}",petshelter,ai,q-stop,stop,higher,0.4,0.62,PRE,notPOST
46033.90000000596,307,49,male,English,AmE,graduated high school,""":""""}",petshelter,nai,neg-know,know,higher,0.51,0.58,BEL,CC
40411.80000000005,10,29,male,English,AmE,graduated high school,""":""""}",petshelter,ai,neg-know,know,lower,0.13,0.3,CC,BEL
55167,522,51,female,English,AmE,graduated college,"""}",bike,ai,q-stop,stop,lower,0.92,0.63,PRE,notPOST
189146.69999998808,187,41,female,English,AmE,hold a higher degree,""":""n/a""}",subway,nai,neg-stop,stop,lower,0,1,notPOST,PRE
47246.90000000037,319,32,female,English,AmE,some college,""":""""}",bike,nai,q-stop,stop,higher,0.51,0.46,notPOST,PRE
63360.09999999963,154,42,male,English,AmE,hold a higher degree,""":""n/a""}",subway,ai,neg-know,know,higher,0.9,0.25,CC,BEL
84596.69999998808,279,50,female,English,AmE,graduated college,""":""The study is interesting""}",subway,ai,neg-know,know,higher,0.58,0.6,CC,BEL
98670,429,79,male,English,AmE,graduated college,""":""Does it matter whether the bicycles are electric?""}",bike,nai,neg-stop,stop,higher,0,1,notPOST,PRE
99530.19999998808,420,37,male,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,lower,0.010000000000000009,1,notPOST,PRE
33437,413,51,male,English,AmE,graduated college,""":""""}",subway,ai,q-know,know,lower,0.18,0,CC,BEL
38785.29999995232,351,62,male,English,AmE,hold a higher degree,""":""""}",subway,ai,q-know,know,lower,0.2,0.1,CC,BEL
37343.89999997616,97,52,female,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-stop,stop,lower,1,0,PRE,notPOST
39051.39999999851,493,34,male,English,AmE,graduated high school,""":""""}",subway,ai,neg-stop,stop,higher,0.67,0.42000000000000004,PRE,notPOST
118717.30000001192,508,73,female,English,AmE,graduated college,""":""""}",subway,nai,q-know,know,lower,0.53,1,BEL,CC
188707,392,62,male,English,AmE,some college,""":""""}",petshelter,ai,neg-know,know,higher,0.81,0.47,CC,BEL
52743.09999996424,117,36,female,English,AmE,graduated college,""":""It's an interesting study but I'll admit that seeing a chart where the last two names had nothing to do with what we were asked threw me off a little bit. (Only because I then assumed I'd also be asked about their opinions, etc.)""}",subway,nai,q-know,know,higher,0.88,1,BEL,CC
45114.09999999986,223,52,male,English,AmE,graduated college,""":""""}",bike,ai,q-stop,stop,lower,0.17,0.87,PRE,notPOST
49070.59999990463,476,27,male,English,AmE,graduated college,""":""""}",subway,nai,q-stop,stop,lower,1,0.12,notPOST,PRE
37277.29999995232,447,27,male,English,AmE,graduated college,""":""The design was reliant on contextual inference rather than explicit data.""}",bike,ai,q-stop,stop,lower,0,1,PRE,notPOST
49738.20000000298,537,28,male,English,AmE,graduated high school,""":""""}",bike,ai,q-know,know,lower,0.3,0.18,CC,BEL
76875.69999998808,535,65,female,English,AmE,graduated high school,""":""no""}",subway,ai,neg-know,know,higher,0.58,1,CC,BEL
46986.5,504,54,female,English,AmE,some college,""":""""}",bike,ai,q-stop,stop,higher,0.49,0.49,PRE,notPOST
39175.19999998808,573,34,female,English,AmE,some college,""":""thank you""}",petshelter,ai,neg-stop,stop,higher,0.89,0.030000000000000027,PRE,notPOST
62011.699999809265,138,51,male,English,AmE,graduated college,"""}",subway,nai,q-know,know,higher,0.84,0.89,BEL,CC
46332,547,52,female,English,AmE,graduated college,""":""""}",subway,ai,q-know,know,higher,0.83,1,CC,BEL
73096,257,36,male,English,AmE,hold a higher degree,""":""""}",bike,ai,q-stop,stop,lower,0.48,0.64,PRE,notPOST
40546.10000002384,498,19,male,English,AmE,graduated high school,""":""""}",petshelter,ai,neg-know,know,higher,0.52,0.55,CC,BEL
61241.19999998808,143,68,female,English,AmE,hold a higher degree,""":""""}",bike,ai,q-stop,stop,higher,0.83,0.15000000000000002,PRE,notPOST
83334.89999961853,418,42,female,English,AmE,some college,""":""""}",bike,nai,q-know,know,higher,0.49,1,BEL,CC
49618,131,68,female,English,AmE,graduated high school,""":""I believe my answer was correct because Charley is an environmental activist.""}",subway,ai,q-know,know,higher,0.09,0.12,CC,BEL
45003.20000000298,70,51,preferNoToSay,English,AmE,some college,""":""none""}",petshelter,nai,q-stop,stop,higher,0.020000000000000018,1,notPOST,PRE
51410,289,39,female,English,AmE,hold a higher degree,""":""""}",petshelter,nai,neg-know,know,higher,0.16,0.92,BEL,CC
53609.40000000014,556,55,male,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,higher,0,1,notPOST,PRE
134982.20000004768,471,32,male,English,AmE,hold a higher degree,""":""""}",petshelter,ai,neg-stop,stop,lower,1,0,PRE,notPOST
138605.40000009537,275,46,female,English,AmE,hold a higher degree,""":""Everything was good.""}",bike,ai,neg-know,know,lower,0,0,CC,BEL
96451.39999997616,62,41,male,English,AmE,graduated high school,""":""""}",bike,nai,q-know,know,lower,0.53,1,BEL,CC
66385,375,37,female,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,lower,1,0.38,CC,BEL
77858.19999998808,252,45,male,English,AmE,graduated college,""":""Thank you for an interesting study!""}",petshelter,ai,neg-stop,stop,higher,0.95,0.12,PRE,notPOST
37018.900000572205,293,44,male,English,AmE,hold a higher degree,""":""""}",subway,nai,neg-stop,stop,lower,0,1,notPOST,PRE
119914,212,56,male,English,AmE,hold a higher degree,""":""None""}",subway,nai,neg-know,know,higher,0.8,0.72,BEL,CC
84882.5,638,20,female,English,AmE,graduated high school,""":""""}",bike,nai,q-know,know,higher,0.71,0.92,BEL,CC
55175,333,56,female,English,AmE,hold a higher degree,""":""NA""}",subway,ai,neg-stop,stop,lower,1,0,PRE,notPOST
74189.19999998808,186,59,female,English,AmE,graduated college,""":""""}",bike,nai,q-stop,stop,lower,0.77,0.2,notPOST,PRE
59795.199999809265,234,28,female,English,AmE,graduated college,""":""""}",petshelter,nai,q-know,know,higher,0.55,0.51,BEL,CC
58918.5,397,40,male,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,higher,1,0.25,CC,BEL
