utterance,qudBias,prior,state.PRE,state.notPOST,prob
pos-stop,PRE?,higher,1,1,1
pos-stop,PRE?,lower,1,1,1
pos-stop,POST?,higher,1,1,1
pos-stop,POST?,lower,1,1,1
neg-stop,PRE?,higher,1,0,0.83648315500775
neg-stop,PRE?,higher,0,0,0.10580694893976002
neg-stop,PRE?,higher,0,1,0.057709896052490633
neg-stop,PRE?,lower,1,0,0.7130355351602582
neg-stop,PRE?,lower,0,1,0.1967724340627005
neg-stop,PRE?,lower,0,0,0.09019203077704167
neg-stop,POST?,higher,1,0,0.9641369193064295
neg-stop,POST?,higher,0,0,0.0356178517212108
neg-stop,POST?,higher,0,1,2.4522897235985036e-4
neg-stop,POST?,lower,1,0,0.9634281378298813
neg-stop,POST?,lower,0,0,0.035591667397149654
neg-stop,POST?,lower,0,1,9.801947729687357e-4
pos-pre,PRE?,higher,1,0,0.6976105293969718
pos-pre,PRE?,higher,1,1,0.3023894706030283
pos-pre,PRE?,lower,1,1,0.6342166087287284
pos-pre,PRE?,lower,1,0,0.36578339127127174
pos-pre,POST?,higher,1,0,0.9369102851141428
pos-pre,POST?,higher,1,1,0.06308971488585732
pos-pre,POST?,lower,1,0,0.7878034079358113
pos-pre,POST?,lower,1,1,0.21219659206418856
neg-pre,PRE?,higher,0,0,0.6976282570714574
neg-pre,PRE?,higher,0,1,0.30237174292854263
neg-pre,PRE?,lower,0,1,0.6341971127168449
neg-pre,PRE?,lower,0,0,0.36580288728315513
neg-pre,POST?,higher,0,0,0.9375602052568466
neg-pre,POST?,higher,0,1,0.06243979474315337
neg-pre,POST?,lower,0,0,0.7896444863193228
neg-pre,POST?,lower,0,1,0.21035551368067712
neg-post,PRE?,higher,0,1,0.5000006719751177
neg-post,PRE?,higher,1,1,0.49999932802488256
neg-post,PRE?,lower,0,1,0.5000006719751172
neg-post,PRE?,lower,1,1,0.49999932802488256
neg-post,POST?,higher,0,1,0.5000097003277889
neg-post,POST?,higher,1,1,0.49999029967221087
neg-post,POST?,lower,0,1,0.5000097003277889
neg-post,POST?,lower,1,1,0.499990299672211
neg-neg-post,PRE?,higher,0,0,0.5036079500066108
neg-neg-post,PRE?,higher,1,0,0.49639204999339065
neg-neg-post,PRE?,lower,0,0,0.5036079500066108
neg-neg-post,PRE?,lower,1,0,0.49639204999338893
neg-neg-post,POST?,higher,0,0,0.5037266278352551
neg-neg-post,POST?,higher,1,0,0.49627337216474515
neg-neg-post,POST?,lower,0,0,0.5037266278352542
neg-neg-post,POST?,lower,1,0,0.49627337216474515
