interrogative,qudBias,prior,CC,BEL,prob
does-cole-know?,BEL,higher,0,0,0.011903802798568036
does-cole-know?,BEL,higher,1,0,0.4880924832756711
does-cole-know?,BEL,higher,0,1,0.011906278749075266
does-cole-know?,BEL,higher,1,1,0.4880974351766856
does-cole-know?,BEL,lower,0,0,0.009488185701726465
does-cole-know?,BEL,lower,1,0,0.4905040428782738
does-cole-know?,BEL,lower,0,1,0.009498547595059493
does-cole-know?,BEL,lower,1,1,0.4905092238249403
does-cole-know?,CC,higher,0,0,0.030363583835800904
does-cole-know?,CC,higher,1,0,0.43934950963240516
does-cole-know?,CC,higher,0,1,0.050554854856997025
does-cole-know?,CC,higher,1,1,0.4797320516747972
does-cole-know?,CC,lower,0,0,0.07898659436759892
does-cole-know?,CC,lower,1,0,0.3683942570702238
does-cole-know?,CC,lower,0,1,0.14914545911716867
does-cole-know?,CC,lower,1,1,0.40347368944500867
does-cole-think?,BEL,higher,0,0,0.16825600954942443
does-cole-think?,BEL,higher,1,0,0.3317439904506427
does-cole-think?,BEL,higher,0,1,0.16825600954937966
does-cole-think?,BEL,higher,1,1,0.33174399045055325
does-cole-think?,BEL,lower,0,0,0.33491419989887816
does-cole-think?,BEL,lower,1,0,0.16508580010118856
does-cole-think?,BEL,lower,0,1,0.33491419989878923
does-cole-think?,BEL,lower,1,1,0.16508580010114407
does-cole-think?,CC,higher,0,0,0.1682028963579947
does-cole-think?,CC,higher,1,0,0.33179710429021414
does-cole-think?,CC,higher,0,1,0.16820289592585544
does-cole-think?,CC,higher,1,1,0.3317971034259356
does-cole-think?,CC,lower,0,0,0.33486164257443285
does-cole-think?,CC,lower,1,0,0.1651383580704341
does-cole-think?,CC,lower,0,1,0.33486164171461036
does-cole-think?,CC,lower,1,1,0.1651383576405229
does-charley-speak?,BEL,higher,0,0,0.16783018020654572
does-charley-speak?,BEL,higher,1,0,0.3321698490129417
does-charley-speak?,BEL,higher,0,1,0.1678301607268874
does-charley-speak?,BEL,higher,1,1,0.332169810053625
does-charley-speak?,BEL,lower,0,0,0.33449230740532276
does-charley-speak?,BEL,lower,1,0,0.16550772169992078
does-charley-speak?,BEL,lower,0,1,0.33449226859833137
does-charley-speak?,BEL,lower,1,1,0.16550770229642506
does-charley-speak?,CC,higher,0,0,0.16667877381746157
does-charley-speak?,CC,higher,1,0,0.3333240318305188
does-charley-speak?,CC,higher,0,1,0.16667690338547464
does-charley-speak?,CC,higher,1,1,0.33332029096654486
does-charley-speak?,CC,lower,0,0,0.333346375210222
does-charley-speak?,CC,lower,1,0,0.16665643033237212
does-charley-speak?,CC,lower,0,1,0.3333426344867631
does-charley-speak?,CC,lower,1,1,0.16665455997064274
